Security Code,Issuer Name,Security Id,Security Name,Sector Name
517271,HBL Power Systems Ltd.,HBLPOWER,HBL POWER SYSTEMS LTD.-$,Consumer Discretionary
517273,"S & S Power Switchgears Ltd.,",S&SPOWER,S&S POWER SWITCHGEAR LTD.,Industrials
517288,Gujarat Poly Electronics Limited,GUJARATPOLY,Gujarat Poly Electronics Ltd,Industrials
517300,Gujarat Industries Power Co. Ltd,GIPCL,GUJARAT INDUSTRIES POWER CO.LTD.,Utilities
517334,Samvardhana Motherson International Limited,MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary
517344,Mindteck (India) Ltd,MINDTECK,MINDTECK (INDIA) LTD.,Information Technology
517354,Havells India Limited,HAVELLS,HAVELLS INDIA LTD.,Consumer Discretionary
517356,ACI Infocom Ltd.,ACIIN,ACI INFOCOM LTD.,Information Technology
517360,SBEC Systems (Ind) Ltd.,SBECSYS,SBEC SYSTEMS (INDIA) LTD.,Services
517370,Incap Ltd,INCAP,INCAP LTD.,Industrials
517372,Gujarat Intrux Limited,GUJINTRX,GUJARAT INTRUX LTD.-$,Industrials
517380,Igarashi Motors India Ltd.,IGARASHI,IGARASHI MOTORS INDIA LTD.,Consumer Discretionary
517385,Symphony Limited,SYMPHONY,Symphony Limited,Consumer Discretionary
517393,Vintron Informatics Ltd.,VINTRON,VINTRON INFORMATICS LTD.,Information Technology
517397,Pan Electronics India Ltd.,PANELEC,PAN ELECTRONICS INDIA LTD.,Industrials
517399,VXL Instruments Ltd.,VXLINSTR,VXL INSTRUMENTS LTD.,Consumer Discretionary
517411,Shyam Telecom Ltd.,SHYAMTEL,SHYAM TELECOM LTD.,Services
517415,Lee & Nee Softwares (Exports) Ltd.,LEENEE,LEE & NEE SOFTWARES (EXPORTS) LTD.,Information Technology
517417,Patels Airtemp (I) Ltd.,PATELSAI,PATELS AIRTEMP (INDIA) LTD.,Industrials
517421,Butterfly Gandhimathi Appliances Limited,BUTTERFLY,Butterfly Gandhimathi Appliances Ltd,Consumer Discretionary
517423,Integra Switchgear Ltd.,INTEGSW,INTEGRA SWITCHGEAR LTD.,Industrials
517429,Athena Global Technologies Limited,ATHENAGLO,Athena Global Technologies Ltd-$,Information Technology
517431,Narmada Macplast Drip Irrigation Sy,NARMP,NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LTD.,Industrials
517437,Dutron  Polymers Ltd.,DUTRON,DUTRON POLYMERS LTD.-$,Industrials
517447,R S Software India Ltd.,RSSOFTWARE,R.S.SOFTWARE INDIA LTD.,Information Technology
517449,Magna Electro Castings Ltd.,MAGNAELQ,MAGNA ELECTRO CASTINGS LTD.-$,Industrials
517467,MARSONS LIMITED,MARSONS,MARSONS LIMITED,Industrials
517477,Elnet Technologies Ltd.,ELNET,ELNET TECHNOLOGIES LTD.-$,Information Technology
517494,ACCEL LIMITED,ACCEL,Accel Ltd,Information Technology
517498,Websol Energy System Limited,WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD.,Industrials
517500,Roto Pumps Ltd.,ROTO,ROTO PUMPS LTD.,Industrials
517506,TTK Prestige Ltd.,TTKPRESTIG,TTK PRESTIGE LTD.,Consumer Discretionary
517514,D & H India Limited,DHINDIA,D&H India Ltd-$,Industrials
517522,Rajratan Global Wire Ltd,RAJGLOWIR,RAJRATAN GLOBAL WIRE LTD.,Consumer Discretionary
517530,Surana Telecom And Power Limited,SURANAT&P,Surana Telecom And Power Limited,Utilities
517536,Onward Technologies Ltd.,ONWARDTEC,ONWARD TECHNOLOGIES LTD.,Information Technology
517544,Centum Electronics Ltd,CENTUM,CENTUM ELECTRONICS LTD.,Industrials
